Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Madrid. Retiro;28002-28003-28043;2017;7;3;Madrid;27.0 (16:50);13.0 (07:00);20;30 (16:30);14 (09:00);0;0;0;0;0
Tielmes;28049-28054-28053;2017;7;3;Madrid;33.9 (18:00);14.3 (05:30);24.1;20 (15:00);11 (15:00);0;0;0;0;0
Puerto Alto del León;28019-28014-28012;2017;7;3;Madrid;34.0 (18:20);16.3 (06:40);25.1;30 (19:20);12 (04:50);0;0;0;0;0
Alpedrete;28018-28010-28008;2017;7;3;Madrid;31.4 (19:10);15.1 (06:50);23.3;0;0;0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;7;3;Madrid;32.8 (17:20);16.8 (03:20);24.8;27 (15:50);14 (18:00);0;0;0;0;0
Robledo de Chavela;28016-28006;2017;7;3;Madrid;33.0 (18:00);16.8 (07:10);24.9;23 (14:20);13 (07:40);0;0;0;0;0
Valdemorillo;28015;2017;7;3;Madrid;27.0 (16:50);13.0 (07:00);20;30 (16:30);14 (09:00);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;7;4;Madrid;24.2 (15:20);13.5 (04:50);18.9;49 (15:20);33 (05:30);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;7;4;Madrid;36.3 (18:30);20.2 (07:30);28.3;39 (23:20);21 (02:00);0;0;0;0;0
Rascafría;28034-28035-28040;2017;7;4;Madrid;30.2 (17:50);8.2 (06:00);19.2;32 (16:00);14 (17:30);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;7;4;Madrid;30.7 (17:40);9.6 (06:20);20.2;31 (16:10);17 (16:10);0;0;0;0;0
Somosierra;28020-28021-28024;2017;7;4;Madrid;26.9 (17:30);14.2 (05:40);20.5;42 (17:00);18 (13:40);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;7;4;Madrid;32.4 (17:40);16.3 (06:30);24.4;30 (17:50);13 (16:50);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;7;4;Madrid;35.1 (17:50);16.7 (07:20);25.9;58 (14:40);27 (23:59);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;7;4;Madrid;36.7 (19:00);19.1 (07:30);27.9;44 (23:59);28 (23:59);0;0;0;0;0
Arganda del Rey;28051-28031-28052;2017;7;4;Madrid;30.9 (17:20);17.8 (05:30);24.3;38 (19:10);17 (18:40);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;7;4;Madrid;34.9 (18:00);19.4 (07:50);27.2;37 (23:50);13 (09:20);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;7;4;Madrid;34.6 (18:00);17.3 (07:30);25.9;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;7;4;Madrid;35.7 (16:00);21.1 (08:10);28.4;37 (23:59);17 (23:30);0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;7;4;Madrid;34.4 (17:20);19.6 (08:20);27;0;0;0;0;0;0;0
Tielmes;28002-28003-28043;2017;7;4;Madrid;26.8 (17:20);14.2 (06:30);20.5;42 (10:10);24 (08:50);0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;7;4;Madrid;33.1 (19:20);16.8 (07:10);24.9;35 (18:20);14 (17:00);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;7;4;Madrid;35.1 (18:00);17.4 (07:00);26.2;32 (14:30);16 (12:40);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;7;4;Madrid;32.3 (18:10);16.4 (06:50);24.3;0;0;0;0;0;0;0
